guanosine,MID_61
inosine,MID_58
hypoxanthine,MID_59
ribulose-5-phosphate,MID_23
adenosine,MID_99
uridine,MID_5
uridine-5-monophosphate,MID_4
adenosine-5-monophosphate,MID_98
inosine-5'-monophosphate,MID_57
pyrophosphate,MID_26
phosphoethanolamine,MID_31
cholesterol,MID_86
glycerol-alpha-phosphate,MID_63
glyceric acid,MID_65
aspartic acid,MID_90
glutamic acid,MID_67
glycine,MID_62
proline,MID_29
threonine,MID_13
serine,MID_20
citrulline,MID_84
beta-alanine,MID_89
valine,MID_3
isoleucine,MID_54
myo-inositol,MID_41
succinic acid,MID_17
malic acid,MID_43
fumaric acid,MID_72
dehydroascorbic acid,MID_80
threonic acid,MID_14
xylitol,MID_2
ribitol,MID_25
sorbitol,MID_19