BinBase name,MID,annotated_KEGG_name,TC_Tfh_geoMean,B6_Tfh_geoMean,TC_Tn_geoMean,B6_Tn_geoMean,log2FC_Tfh_TCvsB6,log2FC_Tn_TCvsB6,log2FC_TC_TfhvsTn,log2FC_B6_TfhvsTn,ttest_pval_B6_TfhvsB6_Tn,ttest_tscore__B6_TfhvsB6_Tn,padj_lim_ttest_tscore__B6_TfhvsB6_Tn,ttest_pval_TC_TfhvsB6_Tfh,ttest_tscore__TC_TfhvsB6_Tfh,padj_lim_ttest_tscore__TC_TfhvsB6_Tfh,ttest_pval_TC_TfhvsTC_Tn,ttest_tscore__TC_TfhvsTC_Tn,padj_lim_ttest_tscore__TC_TfhvsTC_Tn,ttest_pval_TC_TnvsB6_Tn,ttest_tscore__TC_TnvsB6_Tn,padj_lim_ttest_tscore__TC_TnvsB6_Tn,ftest_pval,ftest_fscore,padj_lim_ftest_fscore
xylose,MID_1,C00181,6.071085031,6.58575557,5.642135042,5.785475973,-0.51467054,-0.143340931,0.428949988,0.800279597,0.063974923,1.989882088,0.295884019,0.322851015,-1.024775437,0.62680083,0.42268885,0.830101436,0.732177513,0.727429814,-0.355615328,0.897761537,0.172408222,1.787589495,0.390557401
xylitol,MID_2,C00379,8.985365461,9.082157538,8.057291695,8.500825136,-0.096792077,-0.443533441,0.928073767,0.581332402,1.98E-05,5.965205694,0.000676616,0.434671279,-0.804297005,0.689264456,0.001267823,4.183837224,0.015636485,0.033516144,-2.356953059,0.540475815,1.47E-06,17.34080693,3.26E-05
valine,MID_3,C00183,12.3369745,12.27393107,11.46360137,12.18603817,0.063043429,-0.722436802,0.873373124,0.087892893,0.807467697,0.247765165,0.979256638,0.840239342,0.205369825,0.93841533,0.035496045,2.368533255,0.197003052,0.105005942,-1.733267552,0.688932596,0.104486936,2.249718115,0.257734442
uridine-5-monophosphate,MID_4,C00105,7.728513809,7.528492911,8.829015041,8.949505835,0.200020898,-0.120490794,-1.100501232,-1.421012924,0.004718562,-3.279514221,0.065470054,0.711209669,0.377849078,0.877158592,0.073857122,-1.958253785,0.2826945,0.794329204,-0.265718178,0.952426245,0.009272236,4.648139314,0.042884092
uridine,MID_5,C00299,8.536366584,7.655821516,7.494173147,7.909220254,0.880545068,-0.415047107,1.042193437,-0.253398738,0.492318858,-0.702736282,0.904488031,0.053747893,2.105851516,0.265386423,0.045012621,2.237334349,0.226485079,0.317487806,-1.036618529,0.764977885,0.100929413,2.281973786,0.254617383
uric acid,MID_6,C00366,6.69968128,6.895173763,6.609541339,6.903898705,-0.195492483,-0.294357365,0.090139941,-0.008724942,0.974820024,-0.032060903,0.983682024,0.286403894,-1.108313975,0.611362159,0.570371771,0.583484096,0.815077372,0.326481361,-1.016839495,0.764977885,0.538010673,0.738449784,0.716201383
urea,MID_7,C00086,13.60023106,14.26008868,13.24589909,13.94516648,-0.659857614,-0.699267387,0.35433197,0.314922197,0.367689544,0.927019982,0.832929376,0.06751175,-1.981599801,0.265386423,0.323799583,1.028944803,0.653486431,0.073071006,-1.937911374,0.648639835,0.039455353,3.176056824,0.128810123
uracil,MID_8,C00106,8.249775045,8.72656452,8.45634259,8.786481644,-0.476789475,-0.330139054,-0.206567545,-0.059917123,0.828094858,-0.220729798,0.979256638,0.15940372,-1.486171262,0.431556412,0.545001975,-0.622907201,0.806602923,0.254244815,-1.188925338,0.764977885,0.274898972,1.361256707,0.508563098
UDP-N-acetylglucosamine,MID_9,C00043,7.97380644,7.735317521,8.070148541,8.161582037,0.238488919,-0.091433496,-0.096342101,-0.426264516,0.322640929,-1.020573674,0.761981768,0.573857,0.57585049,0.825885315,0.776374841,-0.290524406,0.95752897,0.810569486,-0.244264443,0.952426245,0.695406959,0.485011866,0.831834251
tyrosine,MID_10,C00082,10.76158864,10.9123255,10.31252567,10.81171966,-0.150736861,-0.499193982,0.449062963,0.100605841,0.816238266,0.236247635,0.979256638,0.749635306,-0.32547455,0.904451294,0.418822524,0.837235404,0.732177513,0.327016902,-1.015674201,0.764977885,0.628141567,0.587687401,0.801421999
tryptophan,MID_11,C00078,8.980486087,9.174234247,8.813559976,9.294183881,-0.19374816,-0.480623905,0.166926111,-0.119949633,0.855960372,-0.184472896,0.979256638,0.78339489,-0.280235775,0.915859731,0.829013698,0.220729881,0.975291111,0.511884945,-0.673031103,0.773482419,0.908227853,0.181248252,0.953844843
trans-4-hydroxyproline,MID_12,C01157,7.95486503,8.311629101,8.143710753,8.309851029,-0.356764071,-0.166140276,-0.188845723,0.001778072,0.99520287,0.00610697,0.99520287,0.366859234,-0.932545622,0.646371031,0.715928957,-0.372620421,0.934918991,0.684233867,-0.415276425,0.883139061,0.777760735,0.36642487,0.88686934
threonine,MID_13,C00188,9.173539652,8.851214699,8.868392845,9.094983866,0.322324952,-0.226591021,0.305146807,-0.243769166,0.139310461,-1.555807574,0.5332228,0.032345578,2.37557454,0.239357275,0.205765317,1.33779267,0.484767117,0.342997517,-0.981514546,0.764977885,0.251215021,1.443528525,0.472822286
threonic acid,MID_14,C01620,10.13365439,10.14016079,8.36620455,8.616685191,-0.006506392,-0.250480642,1.767449844,1.523475594,0.002848863,3.518685514,0.045174827,0.990279827,-0.012402082,0.990279827,0.000595262,4.615043149,0.008259257,0.394707341,-0.878104891,0.764977885,0.000103397,10.21203574,0.001434633
taurine,MID_15,C00245,9.754377731,10.18897359,9.898452186,9.520195952,-0.434595862,0.378256235,-0.144074455,0.668777642,0.600338799,0.534509059,0.958995267,0.792094903,-0.268679727,0.915859731,0.94486494,-0.070618106,0.975291111,0.817916701,0.234598515,0.952426245,0.976531863,0.067892246,0.985409425
sucrose,MID_16,C00089,8.238012846,8.003928204,7.319507082,7.567558429,0.234084642,-0.248051348,0.918505764,0.436369775,0.522187431,0.654340992,0.904488031,0.82527667,0.224939206,0.934752147,0.368778494,0.933877347,0.705765738,0.616797978,-0.511756598,0.834933848,0.692391709,0.489479212,0.831834251
succinic acid,MID_17,C00042,10.24319915,10.88396862,10.31047576,10.86471573,-0.64076947,-0.554239965,-0.067276617,0.019252887,0.878758014,0.155002318,0.979256638,0.003013458,-3.580397942,0.055748973,0.74094472,-0.338351331,0.945343263,0.001075315,-4.103236241,0.059680002,0.000167818,9.527441133,0.00186278
spermidine,MID_18,C00315,7.401930762,8.28564026,7.938072557,8.764492507,-0.883709498,-0.82641995,-0.536141795,-0.478852247,0.207675673,-1.313084802,0.62302702,0.002539422,-3.666697117,0.055748973,0.054619236,-2.129338167,0.251867379,0.060548357,-2.041211504,0.648639835,0.002860519,5.945369945,0.019844851
sorbitol,MID_19,C00794,12.82689698,13.72149327,12.53826048,13.09204821,-0.89459629,-0.553787736,0.288636498,0.629445052,0.195349459,1.351455382,0.619536856,0.048944932,-2.156236343,0.265386423,0.501083608,0.693691267,0.775527057,0.280259565,-1.123164789,0.764977885,0.07746383,2.529882918,0.20971915
serine,MID_20,C00065,10.47491801,9.935905032,10.00073896,10.36200392,0.539012973,-0.361264957,0.474179041,-0.426098889,0.115217115,-1.665753638,0.456753564,0.038868482,2.278962854,0.253788322,0.197897119,1.363046556,0.484767117,0.318017926,-1.035441471,0.764977885,0.214497425,1.587794247,0.449230456
salicylic acid,MID_21,C00805,7.561286114,8.09883001,7.92210909,7.958548376,-0.537543896,-0.036439286,-0.360822977,0.140281634,0.636520192,0.481730647,0.966246682,0.203098523,-1.335255717,0.487909146,0.389378091,-0.893071005,0.726899421,0.894679348,-0.134812224,0.952426245,0.473822605,0.858949795,0.704337912
salicylaldehyde,MID_22,C06202,10.09319643,10.98971374,9.472288233,9.559602882,-0.896517306,-0.087314649,0.620908198,1.430110855,0.089937588,1.80493644,0.383964319,0.210987739,-1.310900716,0.487909146,0.484089451,0.72206302,0.767627558,0.928588313,-0.091247958,0.95469629,0.229813708,1.524813586,0.463805847
ribulose-5-phosphate,MID_23,C00199,7.69403809,7.1436872,6.314623478,6.535610649,0.550350891,-0.22098717,1.379414612,0.608076551,0.044235181,2.183531245,0.258426583,0.208430081,1.318715019,0.487909146,0.004204058,3.522497791,0.042422764,0.309742996,-1.053980513,0.764977885,0.001596935,6.626495713,0.013707603
ribose,MID_24,ribose,8.507749315,8.830154796,7.860985407,8.342440251,-0.32240548,-0.481454844,0.646763908,0.487714545,0.063635769,1.992717118,0.295884019,0.393330925,-0.880733321,0.662517494,0.127500773,1.637320567,0.36471113,0.075966827,-1.916336849,0.648639835,0.03585381,3.269582417,0.124367903
ribitol,MID_25,C00474,9.25848392,9.545727343,8.687989602,9.07977431,-0.287243423,-0.391784708,0.570494317,0.465953033,0.031476508,2.357317887,0.218368272,0.066780423,-1.987589091,0.265386423,0.000184476,5.312711688,0.003412798,0.067017229,-1.985643215,0.648639835,0.000342693,8.559189961,0.003458084
pyrophosphate,MID_26,C00013,13.01701996,13.03101778,13.92787469,14.13631687,-0.013997819,-0.208442184,-0.910854725,-1.10529909,3.64E-05,-5.647083699,0.00080788,0.943791497,-0.071781093,0.978177378,0.110388059,-1.723785973,0.356900376,0.666874753,-0.439687455,0.870859971,0.004332433,5.476098776,0.028288239
putrescine,MID_27,C00134,10.26399379,10.16920427,9.217212513,9.334741002,0.094789522,-0.11752849,1.046781281,0.834463269,0.008790774,2.982710681,0.096682031,0.787693226,0.274521502,0.915859731,0.028004499,2.49826288,0.176646539,0.736002702,-0.343939741,0.897761537,0.006677875,5.000338345,0.035297339
pseudo uridine,MID_28,C02067,7.42983438,7.982769236,7.204107001,7.954182437,-0.552934855,-0.750075435,0.225727379,0.028586799,0.892008692,0.13794026,0.979256638,0.057637663,-2.06801447,0.265386423,0.354805457,0.962475106,0.703275102,0.00040744,-4.606441529,0.045225838,0.002524434,6.089194335,0.018680812
proline,MID_29,C00148,11.28435677,10.01566496,10.7582083,10.48927121,1.268691809,0.268937084,0.526148476,-0.473606249,0.455667419,-0.764551759,0.872053164,0.028300224,2.445268471,0.224380344,0.399467249,0.873626685,0.726899421,0.711684498,0.377195439,0.897761537,0.250990036,1.444346499,0.472822286
phthalic acid,MID_30,C01606,11.3361985,11.58036407,10.93065312,11.36543598,-0.244165575,-0.434782852,0.405545374,0.214928096,0.671314158,0.43227064,0.979256638,0.626412297,-0.497713329,0.847948353,0.472643998,0.741515686,0.767627558,0.447960023,-0.780733487,0.764977885,0.672112713,0.519824783,0.831834251
phosphoethanolamine,MID_31,C00346,14.63560268,13.40274687,15.25638204,15.07477024,1.232855814,0.181611798,-0.620779356,-1.672023372,8.61E-05,-5.209045319,0.001592199,0.006509437,3.193085731,0.103221066,0.088668177,-1.852699863,0.317489278,0.506731406,0.681404599,0.773482419,1.07E-05,13.74446481,0.00019795
phosphate,MID_32,C00009,18.32060592,18.54102641,18.61673867,18.39864736,-0.220420489,0.21809131,-0.296132749,0.142379049,0.521847191,0.654883235,0.904488031,0.05582233,-2.08536949,0.265386423,0.058995963,-2.085964603,0.251867379,0.409932609,0.849430574,0.764977885,0.466066923,0.87445525,0.704337912
phenylalanine,MID_33,C00079,10.15264014,10.66558651,10.0721841,10.41027603,-0.512946378,-0.338091931,0.080456037,0.255310483,0.504184627,0.683313104,0.904488031,0.2810469,-1.121248204,0.611362159,0.880639862,0.153390135,0.975291111,0.442112436,-0.791046875,0.764977885,0.530200875,0.752436913,0.716201383
pelargonic acid,MID_34,C01601,12.99830751,13.41113098,13.07754703,13.47523188,-0.412823469,-0.397684852,-0.07923952,-0.064100902,0.866208497,-0.171205712,0.979256638,0.3142221,-1.043901317,0.62680083,0.841680235,-0.204120418,0.975291111,0.308355663,-1.05712403,0.764977885,0.527106325,0.758026605,0.716201383
parabanic acid ,MID_35,C00802,9.111410527,9.179771465,8.515649271,9.291279831,-0.068360939,-0.77563056,0.595761256,-0.111508365,0.644164455,-0.47076231,0.966246682,0.625024904,-0.499733405,0.847948353,0.00634482,3.299653592,0.058689587,0.015568399,-2.752499013,0.432023083,0.009168549,4.660085351,0.042884092
oxoproline,MID_36,C01879,14.88659166,14.51607258,14.58716992,14.28586218,0.37051908,0.30130774,0.299421738,0.230210398,0.32178126,1.022446073,0.761981768,0.051777401,2.125996368,0.265386423,0.057515898,2.100284269,0.251867379,0.20478995,1.329970672,0.764977885,0.047999344,2.986027623,0.152226491
oxalic acid,MID_37,C00209,8.640759192,8.37424956,8.232853805,8.33573346,0.266509632,-0.102879655,0.407905387,0.0385161,0.929678115,0.089649847,0.979256638,0.656785417,0.45400277,0.870485348,0.570064412,0.583955921,0.815077372,0.84540172,-0.198637901,0.952426245,0.910878859,0.177296634,0.953844843
ornithine,MID_38,C00077,10.55515208,10.92923166,9.960034999,10.65645685,-0.374079575,-0.69642185,0.595117081,0.272774807,0.569695311,0.580452276,0.943823575,0.344458114,-0.978449443,0.62680083,0.172044759,1.452354982,0.444115542,0.201664256,-1.339765172,0.764977885,0.221695888,1.557648992,0.455708214
nicotinamide,MID_39,C00153,9.866034391,9.423618345,9.562566243,9.710149656,0.442416046,-0.147583413,0.303468148,-0.286531311,0.294073071,-1.084829823,0.748834092,0.143191882,1.551068966,0.407546127,0.398107572,0.876227447,0.726899421,0.649751505,-0.464041137,0.858600203,0.504072059,0.800525705,0.716201383
myristic acid,MID_40,C06424,13.09889894,13.65604824,13.07531095,13.68392523,-0.557149299,-0.608614272,0.023587989,-0.027876984,0.944229964,-0.071060865,0.979528281,0.337942782,-0.992194133,0.62680083,0.97129298,0.036744413,0.977151674,0.194701569,-1.362033123,0.764977885,0.462616667,0.881426847,0.704337912
myo-inositol,MID_41,C00137,17.02032032,16.37844369,16.6550467,16.39579685,0.641876623,0.259249851,0.36527362,-0.017353153,0.935145979,-0.082661537,0.979256638,0.008519382,3.057655271,0.118206425,0.065319371,2.028337583,0.265167295,0.205941166,1.326393686,0.764977885,0.01349945,4.253906148,0.055497739
methanolphosphate,MID_42,methanolphosphate,10.66022799,9.946263572,8.840400677,10.41579212,0.713964417,-1.575391443,1.819827312,-0.469528547,0.552736501,-0.606430886,0.929602298,0.334545829,0.999435289,0.62680083,0.066889047,2.014839313,0.265167295,0.117925399,-1.665980759,0.688932596,0.191176373,1.692991327,0.416089753
malic acid,MID_43,C00149,9.848405612,9.819766147,10.25821813,10.23709323,0.028639465,0.021124908,-0.409812522,-0.417327079,0.030489779,-2.373386884,0.218368272,0.951740152,0.061615349,0.978177378,0.428752598,-0.818999212,0.732177513,0.865974242,0.171902565,0.952426245,0.403776154,1.008191528,0.659105193
maleimide,MID_44,C07272,12.08764161,12.43620723,13.06578136,12.63160458,-0.348565618,0.434176779,-0.978139747,-0.195397349,0.717513212,-0.368250429,0.979256638,0.51888342,-0.661737691,0.786805382,0.080171639,-1.911076796,0.296635065,0.433482832,0.806426619,0.764977885,0.383876068,1.054944976,0.635973784
lyxitol,MID_45,C00532,10.39704624,11.11127278,10.10661965,10.5245057,-0.714226535,-0.417886057,0.290426597,0.586767075,0.284629528,1.107072311,0.748834092,0.135156351,-1.585582246,0.407546127,0.579008452,0.570281248,0.815077372,0.498475412,-0.694923354,0.773482419,0.290750453,1.310023402,0.520537101
lysine,MID_46,C00047,7.647115366,7.987660413,7.685488128,8.347995091,-0.340545047,-0.662506963,-0.038372762,-0.360334678,0.226709828,-1.257239546,0.662231341,0.336509102,-0.995243886,0.62680083,0.935349652,-0.082833477,0.975291111,0.113203337,-1.689790121,0.688932596,0.210034647,1.606999865,0.448343189
levoinositol,MID_47,levoinositol,6.077255463,6.236648726,5.878029595,6.287619536,-0.159393263,-0.409589941,0.199225868,-0.05097081,0.882414034,-0.150290132,0.979256638,0.69705673,-0.397411993,0.877158592,0.665284977,0.443513763,0.889718463,0.297225178,-1.082728945,0.764977885,0.726938779,0.438904942,0.858247464
levoglucosan,MID_48,levoglucosan,10.28186805,10.87031396,10.3713358,10.32094738,-0.58844591,0.050388423,-0.08946775,0.549366583,0.185825238,1.382457979,0.606664747,0.196589811,-1.355931101,0.487909146,0.859672208,-0.180630635,0.975291111,0.912931731,0.111334237,0.95469629,0.482249381,0.842354533,0.704337912
leucine,MID_49,C00123,11.5695856,11.7831269,11.91672663,11.76366174,-0.213541296,0.15306489,-0.347141026,0.01946516,0.971588232,0.036177646,0.983682024,0.763393287,-0.306958405,0.911146827,0.592490718,-0.549877487,0.822080872,0.735846769,0.34415166,0.897761537,0.955327081,0.106956477,0.981863944
lauric acid,MID_50,C02679,12.51451302,12.89612382,13.42015787,12.77754488,-0.381610802,0.642612989,-0.905644853,0.118578937,0.913990191,0.109727209,0.979256638,0.748634582,-0.326825933,0.904451294,0.470230828,-0.745654233,0.767627558,0.579902148,0.566682547,0.814389055,0.898179556,0.19607547,0.953844843
lactic acid,MID_51,C01432,14.43359143,15.08640919,14.26453403,14.72676933,-0.652817759,-0.462235303,0.169057401,0.359639856,0.246550867,1.202800984,0.701721699,0.0782874,-1.89957863,0.281960695,0.622382692,0.505472704,0.842493644,0.132831004,-1.595897239,0.737212075,0.070155996,2.623459973,0.194682889
isothreonic acid,MID_52,C00639,8.246443742,9.106516572,8.260518304,8.691166624,-0.860072831,-0.43064832,-0.014074562,0.415349948,0.296835136,1.078423857,0.748834092,0.111914176,-1.696440837,0.36536687,0.977151674,-0.029242788,0.977151674,0.22137108,-1.279935487,0.764977885,0.160152667,1.855217025,0.370353042
isopropylbenzene,MID_53,C14396,12.75191463,13.6391264,12.67097642,13.39973853,-0.887211774,-0.728762113,0.080938211,0.239387872,0.851956233,0.189665872,0.979256638,0.524536921,-0.652678322,0.786805382,0.957718298,0.054135176,0.975291111,0.608639653,-0.523756867,0.834061746,0.865853563,0.242611343,0.942912932
isoleucine,MID_54,C00407,11.79950595,11.81387563,10.86857481,11.53114801,-0.014369679,-0.662573194,0.930931135,0.28272762,0.288157423,1.098700149,0.748834092,0.962468463,-0.047905231,0.980128434,0.01046152,3.030260638,0.089325285,0.023890412,-2.533029181,0.530367153,0.009784962,4.591081405,0.043445231
